27515	77 21
27517	77 63
27511	99 28
27530	99 98
27532	99 140
27518	375 70

26514	814 119
26512	814 161
26510B	814 210
26508	814 287
26506	814 329
26504	814 371
26502	814 413
26515	836 91
26513	836 161
26511	836 210
26509	836 287
26507	836 329
26505	836 371

25533	616 476

--------------------------------------------

27419B	88 56
27419C	88 56
27422	99 126
27425	77 164

26421	836 70
26419	836 112

25433	661 476

--------------------------------------------

27321B	88 56
27321A	88 56
27323	77 112
27332	99 90
27332	99 91
27334	99 126
27336	99 154
27316	407 70

26315B	836 83
26315B	836 84
26311	836 209
26311	836 210
26318	847 252
26307	836 343
26305	836 385
26314B	814 140
26312	814 210
26310	814 294
26308	814 350

25315	462 476
25309	363 476
25309	364 476
25314	462 462

--------------------------------------------

27240	99 84
27218	385 69

26223	836 70
26217A	836 217
26211	836 343

25217	506 476

--------------------------------------------

27119	88 56
27118	99 91
27117	341 56
27113	407 56
27111	473 56
27109	539 56
27107	583 56
27105	627 56
27114C	327 70	
27114C	328 70
27114B	366 70
27112	506 70
27108	572 70
27104	627 70

26119B	836 87
26119A	836 113
26117	836 147
26110	814 161
26108	814 210
26106	814 304
26106	814 305

25113	275 476

------------------------------------------------

Stair1	121 182
Stair2	275 42
Stair3	792 84
Stair4	792 448
Stair5	363 448

------------------------------------------

Exit1	54 181
Exit1	54 182
Exit1	55 181
Exit1	55 182

Exit2	274 83
Exit2	274 84
Exit2	275 83
Exit2	275 84

Exit3	769 363
Exit3	769 364
Exit3	770 363
Exit3	770 364

Exit4	720 482
Exit4	720 483
Exit4	721 482
Exit4	721 483

Exit5	274 433
Exit5	274 434
Exit5	275 433
Exit5	275 434
